atclaatst_naam_tekst#gesl#atclaatst#uitgiftes#DDD#vergoeding#gebruikers#DDD_per_uitgifte#vergoeding_per_uitgifte#vergoeding_per_gebruiker#vergoeding_per_DDD#DDD_per_gebruiker#uitgifte_per_gebruiker#lftkls
Diverse middelen #V #A01AD11 #450 #382 #15543 #399 #0,85 #34,57 #38,92 #40,71 #0,96 #1,13 #25-44
Diverse middelen #V #A01AD11 #1570 #360 #53796 #1452 #0,23 #34,26 #37,05 #149,40 #0,25 #1,08 #45-64
Diverse middelen #V #A01AD11 #1771 #. #61316 #1634 #. #34,62 #37,51 #. #. #1,08 #65-74
Diverse middelen #V #A01AD11 #3045 #153 #103260 #2778 #0,05 #33,91 #37,17 #674,80 #0,06 #1,10 #75 +
Magnesiumoxide #V #A02AA02 #1 #250 #-16 #1 #250,00 #-15,86 #-15,86 #-0,06 #250,00 #1,00 #45-64
Magnesiumoxide #V #A02AA02 #3 #750 #-13 #1 #250,00 #-4,33 #-12,99 #-0,02 #750,00 #3,00 #65-74
Magnesiumoxide #V #A02AA02 #6 #1250 #112 #4 #208,30 #18,62 #27,93 #0,09 #312,50 #1,50 #75 +
Calciumcarbonaat #V #A02AC01 #2 #. #30 #2 #. #15,25 #15,25 #. #. #1,00 #75 +
Cimetidine #M #A02BA01 #53 #1430 #816 #27 #26,88 #15,37 #29,95 #0,57 #52,40 #1,95 #5-14
Cimetidine #M #A02BA01 #66 #2590 #1538 #38 #38,91 #23,13 #40,45 #0,59 #68,03 #1,75 #15-24
Cimetidine #M #A02BA01 #383 #15130 #8709 #166 #39,46 #22,72 #52,55 #0,58 #91,26 #2,31 #25-44
Cimetidine #M #A02BA01 #1228 #57590 #33736 #438 #46,88 #27,46 #77,04 #0,59 #131,50 #2,81 #45-64
Cimetidine #M #A02BA01 #996 #46610 #27905 #332 #46,78 #28,01 #84,09 #0,60 #140,50 #3,00 #65-74
Cimetidine #M #A02BA01 #683 #31030 #18277 #240 #45,45 #26,77 #76,19 #0,59 #129,30 #2,85 #75 +
Cimetidine #V #A02BA01 #36 #963 #625 #21 #26,42 #17,15 #29,41 #0,65 #45,31 #1,72 #5-14
Cimetidine #V #A02BA01 #156 #6840 #3825 #76 #43,74 #24,46 #50,09 #0,56 #89,57 #2,05 #15-24
Cimetidine #V #A02BA01 #664 #28940 #16890 #277 #43,58 #25,43 #61,02 #0,58 #104,60 #2,40 #25-44
Cimetidine #V #A02BA01 #2116 #93200 #55738 #747 #44,05 #26,34 #74,58 #0,60 #124,70 #2,83 #45-64
Cimetidine #V #A02BA01 #1476 #65700 #39104 #474 #44,52 #26,50 #82,48 #0,60 #138,60 #3,11 #65-74
Cimetidine #V #A02BA01 #1354 #50420 #30476 #382 #37,24 #22,51 #79,88 #0,60 #132,20 #3,55 #75 +
Ranitidine #M #A02BA02 #1241 #7670 #53137 #430 #6,18 #42,82 #123,40 #6,92 #17,83 #2,88 #0-4
Ranitidine #M #A02BA02 #350 #6870 #48990 #68 #19,65 #140,10 #720,90 #7,13 #101,10 #5,14 #5-14
Ranitidine #M #A02BA02 #181 #4390 #31407 #29 #24,28 #173,80 #1065,00 #7,16 #148,90 #6,13 #15-24
